nom des bénéficiaires,Montant du fonds de concours ou de la subvention (numéraire),Prestations en nature
TRANZIT KREOL,200.00,Locaux
TRAVAUX PUBLICS COMPAGNIE,"12,000.00",
TREMPLIN UTC,0.00,Locaux
TRETEAUX DE GUYENNE,0.00,Locaux
TRISOMIE 21 AQUITAINE,0.00,Locaux
TROUPE D'IMPROVISATION THEATRALE D'AQUITAINE NOBLE SCENE (TITANS),0.00,Locaux
UKRAINE AMITIE (UA),0.00,Locaux
ULTRAS BB,200.00,
UNION AFRIQUE CARAIBES (UAC),0.00,"Matériel pour manifestations, locaux"
UNION ALCOOLIQUES ANONYMES,0.00,Locaux
UNION BEGLES BORDEAUX-MIOS BIGANOS,0.00,Equipements sportifs
UNION BORDEAUX METROPOLE - UBM,"80,300.00","Equipements sportifs, locaux"
UNION BORDEAUX NORD DES ASSOCIATIONS DE PREVENTION SPECIALISEE - UBAPS,"15,600.00","Matériel pour manifestations, équipements sportifs"
UNION DEPARTEMENTALE CONSOMMATION LOGEMENT ET CADRE DE VIE,"5,300.00",
UNION DEPARTEMENTALE DES ASSOCIATIONS DE COMBATTANTS ET VICTIMES DE GUERRE DE LA GIRONDE (UDAC),"8,000.00",
UNION DEPARTEMENTALE DES ASSOCIATIONS FAMILIALES - UDAF,500.00,Locaux
UNION DEPARTEMENTALE DES SOUS-OFFICIERS EN RETRAITE DE LA GIRONDE (UDSOR),400.00,
UNION DES ASSOCIATIONS POUR UNE MAISON DES SOURDS UAMS 33,500.00,
UNION DES FAMILLES LAIQUES DE BORDEAUX - UFAL BORDEAUX,0.00,Locaux
UNION DES TRAVAILLEURS IVOIRIENS DE FRANCE - UTIF,0.00,Locaux
UNION DES TRAVAILLEURS SENEGALAIS EN FRANCE - SCT GDE,"3,000.00",
UNION FRANCAISE POUR LA SANTE DU PIED,0.00,Locaux
UNION FRANCAISE SANTE BUCCO-DENTAIRE 33,"6,075.00",
UNION GENERALE SPORTIVE DE L'ENSEIGNEMENT LIBRE D'AQUITAINE (UGSEL),0.00,Matériel pour manifestations
"UNION GIRONDINE DES RETRAITES MILITAIRES, ANCIENS MILITAIRES ET DE LEURS CONJOINTS (URM 33)",0.00,Locaux
UNION LAIQUE DES CAMPEURS RANDONNEURS - ULCR,0.00,Locaux
UNION LOCALE DE LA CONSOMMATION DU LOGEMENT ET CADRE DE VIE DE BORDEAUX RIVE DROITE - CLCV,0.00,Locaux
UNION NATIONALE DE FAMILLES ET AMIS DE PERSONNES MALADES,500.00,
UNION NATIONALE DES AMIS ET FAMILLES DE MALADES PSYCHIQUES - UNAFAM,0.00,Locaux
UNION NATIONALE DES COMBATTANTS DE BORDEAUX RIVE-DROITE - UNC,400.00,Locaux
UNION NATIONALE DES COMBATTANTS DE BORDEAUX-CAUDERAN-LE BOUSCAT (UNC),0.00,Locaux
UNION NATIONALE DES COMBATTANTS DE BORDEAUX-CAUDERAN-LE BOUSCAT (UNC),950.00,
UNION NATIONALE DES COMBATTANTS DU DEPARTEMENT DE LA GIRONDE,0.00,Locaux
UNION REGIONALE D'AQUITAINE DE L'UNION EUROPEENNE FEMININE SECTION FRANÇAISE,750.00,
UNION REGIONALE DES CENTRES D'INFORMATION SUR LES DROITS DES FEMMES ET DES FAMILLES,0.00,Locaux
UNION REGIONALE DES INGENIEURS ET DES SCIENTIFIQUES D'AQUITAINE - URISA,"1,500.00",Locaux
UNION REGIONALE POUR L’HABITAT DES JEUNES D’ AQUITAINE (URHAJ AQUITAINE),0.00,Locaux
UNION SAINT JEAN - MAISON DE QUARTIER ,"750,595.00","Matériel pour manifestations, équipements sportifs,"
UNION SAINT-BRUNO ,"1,495,999.00","Matériel pour manifestations, équipements sportifs,"
UNION SPORTIVE JEUNES DE SAINT-AUGUSTIN - CLUB PYRENEES-AQUITAINE (US JSA-CPA),"17,000.00",Equipements sportifs
UNION SPORTIVE LES CHARTRONS ,"980,549.00","Matériel pour manifestations, équipements sportifs,"
UNIS CITE,"105,000.00",Locaux
UNISPHERES,"4,000.00",
UNIVERSEUL,0.00,Locaux
UNIVERSITE POPULAIRE DE BORDEAUX - UPB,0.00,Locaux
URBAN VIBRATIONS SCHOOL,"40,250.00",Matériel pour manifestations
USEP BORDEAUX BENAUGE,"4,940.00",
USEP ELEMENTAIRE FLORNOY,"3,558.00",
UTOPIA COLLECTIF CINEMA,"1,500.00",Locaux
"V'INSEEC BORDEAUX, VINS ET SPIRITUEUX",0.00,Matériel pour manifestations
VA K BAND,0.00,Locaux
VACANCES ANIMATION LOISIRS TOURISME 33 - VALT 33,0.00,Locaux
VARIETES CLUB DE BORDEAUX - VCB,0.00,Equipements sportifs
VELO CITE,"3,000.00","Communication, matériel pour manifestations, locaux"
VELOPHONIE,700.00,
VERS LA CONNAISSANCE DE SOI,0.00,Locaux
VERY CHEAP PRODUCTION (VCP),0.00,Locaux
VIE ET TRAVAIL A BORDEAUX BACALAN,0.00,"Matériel pour manifestations, locaux"
VIE LIBRE,500.00,Locaux
VILLA 88,0.00,Matériel pour manifestations
VILLA PRIMROSE ,"126,000.00","Communication, matériel pour manifestations,"
VILLAGE D'AUDEGE,0.00,Matériel pour manifestations
VILLAGE DE LA GROSSE CLOCHE,"9,800.00",Matériel pour manifestations
VISIONS CROISEES,0.00,Locaux
VISIONS PARTAGEES,0.00,Locaux
VISITE DES MALADES DANS LES ETABLISSEMENTS HOSPITALIERS DU DEPARTEMENT DE LA GIRONDE - VMEH,500.00,Locaux
VIVONS LA BASTIDE,0.00,"Matériel pour manifestations, locaux"
VIVRE A CAUDERAN,"5,000.00",Matériel pour manifestations
VIVRE AVEC - SOLIDARITES INTERGENERATIONNELLES,"1,500.00",Locaux
VIVRE SANS THYROIDE,0.00,Locaux
VOVINAM VIET VO DAO - CLUB DE BORDEAUX CHAUFFOUR,0.00,Equipements sportifs
WA TID SAOU ALLONS DANSER,"7,000.00",Locaux
WEJOB,500.00,Locaux
WELCOME BORDEAUX (RESEAU D'HOSPITALITE POUR DES DEMANDEURS D'ASILE DANS LA REGION DE BORDEAUX),0.00,Locaux
WIMOOV,"5,000.00",Locaux
WINTEGREAT,"1,000.00",Locaux
"WISE SCA (WELSH, IRISH, SCOTTISH & ENGLISH SPORTING & CULTURAL ASSOCIATION)",0.00,Equipements sportifs
WUNDERSTUDIO,"2,000.00",
WWW.AV-LO.COM,0.00,Matériel pour manifestations
YA DE LA JOIE DE VIVRE,300.00,
YAKAFAUCON,"21,000.00","Matériel pour manifestations, locaux"
YAWATA ASSOCIATION DES ECHANGES DE PROCEDES ARTISTIQUES,"11,800.00",Locaux
YOBALEMA,0.00,"Matériel pour manifestations, locaux"
YOGA ET YOGA,0.00,Locaux
YOGALBEDO (ASSOCIATION DE KUNDALINI YOGA),0.00,Locaux
YOGHINY,0.00,Equipements sportifs
ZANSHIN CLUB,0.00,Equipements sportifs
ZAZOUS PRODUCTIONS,"3,000.00",
ZEBRA 3,"17,000.00",Locaux
ZEKI,"14,000.00",
ZUP DE CO,0.00,Locaux
Ô PLAFOND Entreprises,"5,000.00",
ADOMA,0.00,Matériel pour manifestations
BORDEAUX Y NOV CAMPUS,0.00,Equipements sportifs
EBS LE RELAIS VAL DE SEINE - LE RELAIS GIRONDE,0.00,Matériel pour manifestations
EUTERPE PROMOTION,0.00,Communication
INSTANTS BORDELAIS,0.00,Matériel pour manifestations
L'INSTITUT BORDELAIS DE STYLISME MODELISME,0.00,Matériel pour manifestations
OBOEM,0.00,Communication
OWENZA,0.00,Matériel pour manifestations
SOCIETE EDITRICE DU MONDE,0.00,Communication
THEATRE NATIONAL DE BORDEAUX EN AQUITAINE - TNBA,"1,660,153.00",Communication
UNION COOP DE LA PAGE BLANCHE Personnes physiques,0.00,Equipements sportifs
BORDEAUX MECENES SOLIDAIRES,0.00,Locaux
FEDERATION SYNDICALE UNITAIRE 33 - FSU 33,0.00,Matériel pour manifestations
QUOY SYGRID,0.00,Equipements sportifs
SOLIDAIRES SUD EMPLOI AQUITAINE Personnes de droit public,0.00,Locaux
DEPARTEMENT DE LA GIRONDE Communes,0.00,Equipements sportifs
BORDEAUX METROPOLE,"5,000.00",
FONDATION D'AUTEUIL AQUITAINE,"53,250.00","Matériel pour manifestations, locaux"
FOYER SOCIO-EDUCATIF HORTICOLE,"7,000.00",
INSTITUT DE JOURNALISME BORDEAUX AQUITAINE,0.00,Equipements sportifs
LYCEE PROFESSIONNEL JEHAN DUPERIER,"13,003.28",
LYCEE VITICOLE-CFPPA CHATEAU DILLON (EPLEFPA),"44,521.21",
OPERA NATIONAL DE BORDEAUX,"16,115,663.00",
UNIVERSITE DE BORDEAUX Autres,"6,700.00","Communication, équipements sportifs"
CCAS DE BORDEAUX,"7,823,937.00",
CHAMBRE DE COMMERCE D'INDUSTRIE TERRITORIALE BORDEAUX GIRONDE,"30,000.00",
ECOLE D'ENSEIGNEMENT SUPERIEUR D'ART DE BORDEAUX - ESAB,"3,140,000.00",
ECOLE NATIONALE SUPERIEURE D'ARCHITECTURE ET DE PAYSAGE DE BORDEAUX - ENSAP,0.00,Matériel pour manifestations
GROUPEMENT D'INTERET PUBLIC BORDEAUX MEDIATION,"290,000.00",
MUSEE DES DOUANES,0.00,Communication
